Date,Location,Product,Amount,Total,Unit_price,Weekday,Is_holiday,Buen_fin,Hot_sale
2022-01-02,Monterrey,Producto 5,10.5,31520.02,3001.9066666666668,Sunday,0,0,0
2022-01-02,Monterrey,Producto 37,7.0,42734.895,6104.985,Sunday,0,0,0
2022-01-02,Laredo,Producto 21,3.5,32031.51,9151.859999999999,Sunday,0,0,0
2022-01-02,Monterrey,Producto 21,3.5,23069.795,6591.37,Sunday,0,0,0
2022-01-02,Monterrey,Producto 20,3.5,30771.3,8791.8,Sunday,0,0,0
2022-01-02,Monterrey,Producto 12,7.0,65553.95,9364.85,Sunday,0,0,0
2022-01-02,Monterrey,Producto 43,3.5,32373.95,9249.7,Sunday,0,0,0
2022-01-02,Laredo,Producto 105,3.5,21788.305,6225.2300000000005,Sunday,0,0,0
2022-01-02,Monterrey,Producto 79,3.5,65930.935,18837.41,Sunday,0,0,0
2022-01-02,Monterrey,Producto 16,3.5,53339.44,15239.84,Sunday,0,0,0
2022-01-02,Coahuila,Producto 8,10.5,239569.015,22816.096666666668,Sunday,0,0,0
2022-01-02,Monterrey,Producto 8,10.5,207726.435,19783.47,Sunday,0,0,0
2022-01-02,Monterrey,Producto 117,3.5,25646.075,7327.45,Sunday,0,0,0
2022-01-03,Monterrey,Producto 22,3.5,11529.91,3294.2599999999998,Monday,0,0,0
2022-01-03,Queretaro,Producto 11,3.5,18162.13,5189.18,Monday,0,0,0
2022-01-03,Reynosa,Producto 6,3.5,24207.89,6916.54,Monday,0,0,0
2022-01-03,Queretaro,Producto 41,3.5,41899.34,11971.24,Monday,0,0,0
2022-01-03,Monterrey,Producto 44,3.5,37932.51,10837.86,Monday,0,0,0
2022-01-03,Monterrey,Producto 9,3.5,25796.575,7370.45,Monday,0,0,0
2022-01-03,Coahuila,Producto 10,3.5,35401.625,10114.75,Monday,0,0,0
2022-01-03,Coahuila,Producto 4,3.5,41638.625,11896.75,Monday,0,0,0
2022-01-03,Monterrey,Producto 4,3.5,37328.79500000001,10665.370000000004,Monday,0,0,0
2022-01-03,San Luis,Producto 4,7.0,81484.795,11640.685,Monday,0,0,0
2022-01-03,Monterrey,Producto 3,7.0,19736.29,2819.4700000000003,Monday,0,0,0
2022-01-03,Queretaro,Producto 3,7.0,21268.45,3038.35,Monday,0,0,0
2022-01-03,Monterrey,Producto 2,3.5,14750.435,4214.41,Monday,0,0,0
2022-01-03,Queretaro,Producto 2,7.0,26484.36,3783.48,Monday,0,0,0
2022-01-03,Monterrey,Producto 25,3.5,15526.21,4436.0599999999995,Monday,0,0,0
2022-01-03,San Luis,Producto 26,3.5,22038.065,6296.589999999999,Monday,0,0,0
2022-01-03,Cadereyta,Producto 13,3.5,16595.845,4741.67,Monday,0,0,0
2022-01-03,Monterrey,Producto 13,3.5,29114.435,8318.41,Monday,0,0,0
2022-01-03,Monterrey,Producto 14,3.5,28756.77,8216.22,Monday,0,0,0
2022-01-03,Reynosa,Producto 14,3.5,30809.695,8802.77,Monday,0,0,0
2022-01-03,Online,Producto 18,3.5,37083.06,10595.16,Monday,0,0,0
2022-01-03,Reynosa,Producto 18,3.5,41821.465,11948.99,Monday,0,0,0
2022-01-03,San Luis,Producto 7,7.0,38872.855,5553.265,Monday,0,0,0
2022-01-03,Monterrey,Producto 71,3.5,8870.68,2534.48,Monday,0,0,0
2022-01-03,Monterrey,Producto 81,3.5,7887.950000000001,2253.7000000000003,Monday,0,0,0
2022-01-03,Monterrey,Producto 39,7.0,31312.925,4473.275,Monday,0,0,0
2022-01-03,Monterrey,Producto 1,14.0,22718.185,1622.7275000000002,Monday,0,0,0
2022-01-03,San Luis,Producto 1,3.5,6638.52,1896.72,Monday,0,0,0
2022-01-03,Coahuila,Producto 118,3.5,9021.88,2577.68,Monday,0,0,0
2022-01-03,Coahuila,Producto 0,10.5,27941.06,2661.0533333333333,Monday,0,0,0
2022-01-03,Monterrey,Producto 0,21.0,46790.065,2228.0983333333334,Monday,0,0,0
2022-01-03,Reynosa,Producto 0,3.5,8553.055,2443.73,Monday,0,0,0
2022-01-03,San Luis,Producto 0,3.5,8382.325,2394.9500000000003,Monday,0,0,0
2022-01-03,Coahuila,Producto 5,7.0,21549.605,3078.515,Monday,0,0,0
2022-01-03,Monterrey,Producto 5,3.5,11040.295,3154.37,Monday,0,0,0
2022-01-03,Queretaro,Producto 5,10.5,31415.09,2991.9133333333334,Monday,0,0,0
2022-01-03,Coahuila,Producto 40,3.5,18261.04,5217.4400000000005,Monday,0,0,0
2022-01-03,Durango,Producto 21,3.5,29822.45,8520.7,Monday,0,0,0
2022-01-03,Monterrey,Producto 21,3.5,24283.98,6938.28,Monday,0,0,0
2022-01-03,Monterrey,Producto 12,10.5,103201.245,9828.689999999999,Monday,0,0,0
2022-01-03,Monterrey,Producto 58,7.0,64027.60000000001,9146.800000000001,Monday,0,0,0
2022-01-03,Monterrey,Producto 59,3.5,46265.975,13218.85,Monday,0,0,0
2022-01-03,Coahuila,Producto 16,3.5,50840.09,14525.74,Monday,0,0,0
2022-01-03,Queretaro,Producto 53,3.5,157761.275,45074.65,Monday,0,0,0
2022-01-03,Queretaro,Producto 126,3.5,5087.25,1453.5,Monday,0,0,0
2022-01-03,Monterrey,Producto 68,3.5,23821.07,6806.0199999999995,Monday,0,0,0
2022-01-04,Coahuila,Producto 22,3.5,15133.02,4323.72,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 22,3.5,11529.91,3294.2599999999998,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 100,3.5,22183.21,6338.0599999999995,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 11,7.0,32864.86,4694.9800000000005,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 6,7.0,42483.0,6069.0,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 24,3.5,31266.34,8933.24,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 41,3.5,35913.71,10261.06,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 15,10.5,58271.535,5549.67,Tuesday,0,0,0
2022-01-04,Coahuila,Producto 9,3.5,30910.145,8831.47,Tuesday,0,0,0
2022-01-04,Laredo,Producto 9,3.5,34026.685,9721.91,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 9,21.0,157033.24,7477.773333333333,Tuesday,0,0,0
2022-01-04,San Luis,Producto 9,3.5,27457.045,7844.87,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 10,14.0,108204.215,7728.8724999999995,Tuesday,0,0,0
2022-01-04,Coahuila,Producto 4,3.5,45842.37,13097.820000000002,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 4,3.5,36208.935,10345.41,Tuesday,0,0,0
2022-01-04,Laredo,Producto 3,7.0,26032.895,3718.985,Tuesday,0,0,0
2022-01-04,Coahuila,Producto 2,3.5,14481.25,4137.5,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 2,10.5,37834.86,3603.32,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 23,3.5,23777.25,6793.5,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 29,3.5,16250.395,4642.97,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 26,28.0,150800.51,5385.7325,Tuesday,0,0,0
2022-01-04,Laredo,Producto 99,3.5,13642.055,3897.73,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 13,3.5,21459.305,6131.2300000000005,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 13,7.0,48669.74,6952.82,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 14,3.5,27318.935,7805.410000000001,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 18,3.5,43372.035,12392.01,Tuesday,0,0,0
2022-01-04,San Luis,Producto 18,3.5,38937.22,11124.92,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 19,14.0,52793.86,3770.9900000000002,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 94,3.5,11554.69,3301.34,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 7,3.5,15777.685,4507.91,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 7,3.5,19436.41,5553.26,Tuesday,0,0,0
2022-01-04,San Luis,Producto 7,3.5,19436.41,5553.26,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 27,3.5,18595.605,5313.03,Tuesday,0,0,0
2022-01-04,Cadereyta,Producto 30,3.5,21847.84,6242.24,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 71,3.5,8870.68,2534.48,Tuesday,0,0,0
2022-01-04,Online,Producto 80,3.5,9223.69,2635.34,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 35,3.5,11643.52,3326.7200000000003,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 39,3.5,15656.48,4473.28,Tuesday,0,0,0
2022-01-04,Coahuila,Producto 211,3.5,34705.895,9915.97,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 1,3.5,4215.295,1204.3700000000001,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 84,3.5,5397.84,1542.24,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 0,42.0,91714.52500000001,2183.679166666667,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 0,7.0,15852.06,2264.58,Tuesday,0,0,0
2022-01-04,Reynosa,Producto 0,7.0,17826.375,2546.625,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 5,10.5,28318.325,2696.9833333333336,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 5,7.0,20344.45,2906.35,Tuesday,0,0,0
2022-01-04,Reynosa,Producto 5,3.5,11205.88,3201.68,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 37,3.5,19182.625,5480.75,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 21,3.5,25498.2,7285.2,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 20,3.5,30771.3,8791.8,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 12,3.5,33354.825,9529.949999999999,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 64,3.5,35605.15,10172.9,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 54,3.5,44038.365,12582.39,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 33,3.5,57329.475,16379.85,Tuesday,0,0,0
2022-01-04,San Luis,Producto 33,3.5,69228.95,19779.7,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 16,3.5,65668.75,18762.5,Tuesday,0,0,0
2022-01-04,Monterrey,Producto 8,7.0,136894.45,19556.350000000002,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 8,3.5,69557.21500000001,19873.49,Tuesday,0,0,0
2022-01-04,Coahuila,Producto 137,3.5,31679.97,9051.42,Tuesday,0,0,0
2022-01-04,Queretaro,Producto 67,3.5,42023.52,12006.72,Tuesday,0,0,0
2022-01-04,Coahuila,Producto 124,3.5,17224.06,4921.160000000001,Tuesday,0,0,0
2022-01-05,Queretaro,Producto 22,3.5,12106.395,3458.9700000000003,Wednesday,0,0,0
2022-01-05,Coahuila,Producto 63,3.5,16408.525,4688.150000000001,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 6,3.5,23601.69,6743.339999999999,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 6,3.5,22303.61,6372.46,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 15,3.5,19423.845,5549.67,Wednesday,0,0,0
2022-01-05,Coahuila,Producto 9,3.5,29905.925,8544.55,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 9,3.5,31680.005,9051.43,Wednesday,0,0,0
2022-01-05,San Luis,Producto 9,10.5,91130.69,8679.113333333333,Wednesday,0,0,0
2022-01-05,Online,Producto 4,3.5,45837.925,13096.550000000001,Wednesday,0,0,0
2022-01-05,San Luis,Producto 4,3.5,43550.255,12442.929999999998,Wednesday,0,0,0
2022-01-05,Laredo,Producto 3,3.5,13016.465,3718.9900000000002,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 3,3.5,9868.145,2819.4700000000003,Wednesday,0,0,0
2022-01-05,Laredo,Producto 2,3.5,16136.155,4610.33,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 2,10.5,42112.49,4010.713333333333,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 2,3.5,13242.18,3783.48,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 25,10.5,45843.21,4366.0199999999995,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 28,3.5,11227.02,3207.7200000000003,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 29,3.5,15471.54,4420.4400000000005,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 26,3.5,24234.385,6924.11,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 13,3.5,26202.96,7486.5599999999995,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 13,3.5,26137.44,7467.839999999999,Wednesday,0,0,0
2022-01-05,Laredo,Producto 14,7.0,66303.895,9471.985,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 14,7.0,54637.87,7805.410000000001,Wednesday,0,0,0
2022-01-05,Cadereyta,Producto 18,3.5,37083.06,10595.16,Wednesday,0,0,0
2022-01-05,Laredo,Producto 18,3.5,44511.775,12717.65,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 18,3.5,38937.22,11124.92,Wednesday,0,0,0
2022-01-05,Coahuila,Producto 19,3.5,16767.485,4790.71,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 19,3.5,11833.29,3380.94,Wednesday,0,0,0
2022-01-05,Coahuila,Producto 7,3.5,22732.64,6495.04,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 7,3.5,18510.87,5288.82,Wednesday,0,0,0
2022-01-05,San Luis,Producto 7,3.5,20217.96,5776.5599999999995,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 27,3.5,22766.38,6504.68,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 30,3.5,21847.84,6242.24,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 35,10.5,34930.595,3326.7233333333334,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 1,3.5,5974.675,1707.05,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 1,7.0,13540.87,1934.41,Wednesday,0,0,0
2022-01-05,San Luis,Producto 1,3.5,7244.93,2069.98,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 17,3.5,7736.645,2210.4700000000003,Wednesday,0,0,0
2022-01-05,Coahuila,Producto 0,3.5,9313.675000000001,2661.05,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 0,21.0,45503.885,2166.851666666667,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 0,7.0,15926.4,2275.2,Wednesday,0,0,0
2022-01-05,San Luis,Producto 0,17.5,39816.0,2275.2,Wednesday,0,0,0
2022-01-05,Coahuila,Producto 5,3.5,10711.26,3060.36,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 5,3.5,9958.34,2845.2400000000002,Wednesday,0,0,0
2022-01-05,Reynosa,Producto 5,3.5,10645.565,3041.59,Wednesday,0,0,0
2022-01-05,Coahuila,Producto 40,3.5,15613.185,4460.91,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 12,7.0,63915.11,9130.73,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 64,3.5,39505.79500000001,11287.370000000004,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 116,3.5,64052.41499999999,18300.69,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 31,3.5,53976.965,15421.99,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 16,3.5,51285.71,14653.06,Wednesday,0,0,0
2022-01-05,Laredo,Producto 8,3.5,85578.01000000001,24450.860000000004,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 8,7.0,139614.09,19944.87,Wednesday,0,0,0
2022-01-05,Monterrey,Producto 177,3.5,178693.83,51055.38,Wednesday,0,0,0
2022-01-05,Queretaro,Producto 175,3.5,3915.1,1118.6,Wednesday,0,0,0
2022-01-06,Coahuila,Producto 6,3.5,23228.065,6636.589999999999,Thursday,1,0,0
2022-01-06,Queretaro,Producto 32,3.5,25490.185,7282.910000000001,Thursday,1,0,0
2022-01-06,Monterrey,Producto 24,3.5,31266.34,8933.24,Thursday,1,0,0
2022-01-06,Laredo,Producto 41,3.5,40841.36,11668.960000000001,Thursday,1,0,0
2022-01-06,Monterrey,Producto 15,3.5,22717.94,6490.839999999999,Thursday,1,0,0
2022-01-06,Monterrey,Producto 9,3.5,25796.575,7370.45,Thursday,1,0,0
2022-01-06,Monterrey,Producto 10,7.0,56426.825,8060.974999999999,Thursday,1,0,0
2022-01-06,Coahuila,Producto 4,3.5,39224.115,11206.89,Thursday,1,0,0
2022-01-06,Monterrey,Producto 4,7.0,73533.18,10504.74,Thursday,1,0,0
2022-01-06,Queretaro,Producto 4,3.5,41258.105,11788.03,Thursday,1,0,0
2022-01-06,San Luis,Producto 4,3.5,39195.24,11198.64,Thursday,1,0,0
2022-01-06,Monterrey,Producto 3,14.0,41146.105,2939.0075,Thursday,1,0,0
2022-01-06,Monterrey,Producto 2,10.5,37834.86,3603.32,Thursday,1,0,0
2022-01-06,Reynosa,Producto 2,3.5,16086.21,4596.0599999999995,Thursday,1,0,0
2022-01-06,San Luis,Producto 2,3.5,15487.955,4425.13,Thursday,1,0,0
2022-01-06,Queretaro,Producto 23,3.5,21346.01,6098.86,Thursday,1,0,0
2022-01-06,Coahuila,Producto 28,3.5,13131.02,3751.7200000000003,Thursday,1,0,0
2022-01-06,Monterrey,Producto 13,7.0,53706.03,7672.29,Thursday,1,0,0
2022-01-06,Monterrey,Producto 7,7.0,31555.37,4507.91,Thursday,1,0,0
2022-01-06,Monterrey,Producto 55,3.5,54942.965,15697.99,Thursday,1,0,0
2022-01-06,Queretaro,Producto 61,3.5,2.59,0.74,Thursday,1,0,0
2022-01-06,San Luis,Producto 47,3.5,65963.31,18846.66,Thursday,1,0,0
2022-01-06,Coahuila,Producto 1,3.5,4930.17,1408.6200000000001,Thursday,1,0,0
2022-01-06,Monterrey,Producto 1,3.5,4215.295,1204.3700000000001,Thursday,1,0,0
2022-01-06,Monterrey,Producto 17,3.5,7736.645,2210.4700000000003,Thursday,1,0,0
2022-01-06,Monterrey,Producto 0,14.0,30335.935,2166.8525,Thursday,1,0,0
2022-01-06,Queretaro,Producto 0,3.5,8765.4,2504.4,Thursday,1,0,0
2022-01-06,Monterrey,Producto 5,7.0,20479.725,2925.6749999999997,Thursday,1,0,0
2022-01-06,Queretaro,Producto 5,3.5,10433.045,2980.87,Thursday,1,0,0
2022-01-06,Queretaro,Producto 21,3.5,26083.295,7452.37,Thursday,1,0,0
2022-01-06,Monterrey,Producto 12,7.0,65553.95,9364.85,Thursday,1,0,0
2022-01-06,Monterrey,Producto 59,3.5,35678.23,10193.78,Thursday,1,0,0
2022-01-06,Monterrey,Producto 45,3.5,91050.36499999999,26014.389999999996,Thursday,1,0,0
2022-01-06,Queretaro,Producto 16,7.0,109772.81,15681.83,Thursday,1,0,0
2022-01-06,Laredo,Producto 8,3.5,77020.195,22005.77,Thursday,1,0,0
2022-01-06,San Luis,Producto 216,3.5,178453.625,50986.75,Thursday,1,0,0
2022-01-06,Monterrey,Producto 68,3.5,22782.48,6509.28,Thursday,1,0,0
2022-01-07,Monterrey,Producto 11,3.5,16996.875,4856.25,Friday,0,0,0
2022-01-07,Monterrey,Producto 41,3.5,36915.515,10547.289999999999,Friday,0,0,0
2022-01-07,Durango,Producto 42,3.5,44596.54500000001,12741.870000000004,Friday,0,0,0
2022-01-07,Monterrey,Producto 15,7.0,46148.935,6592.705,Friday,0,0,0
2022-01-07,San Luis,Producto 15,3.5,20395.06,5827.160000000001,Friday,0,0,0
2022-01-07,Coahuila,Producto 9,3.5,25956.91,7416.26,Friday,0,0,0
2022-01-07,Monterrey,Producto 9,7.0,49013.475,7001.925,Friday,0,0,0
2022-01-07,Queretaro,Producto 9,3.5,27086.395,7738.97,Friday,0,0,0
2022-01-07,Monterrey,Producto 10,3.5,28827.015,8236.289999999999,Friday,0,0,0
2022-01-07,Laredo,Producto 4,3.5,42098.595,12028.17,Friday,0,0,0
2022-01-07,Monterrey,Producto 4,3.5,37328.79500000001,10665.370000000004,Friday,0,0,0
2022-01-07,San Luis,Producto 4,3.5,39195.24,11198.64,Friday,0,0,0
2022-01-07,Reynosa,Producto 3,3.5,12476.905,3564.8300000000004,Friday,0,0,0
2022-01-07,Monterrey,Producto 2,3.5,14916.755,4261.929999999999,Friday,0,0,0
2022-01-07,Queretaro,Producto 2,3.5,15487.955,4425.13,Friday,0,0,0
2022-01-07,San Luis,Producto 2,3.5,14078.19,4022.34,Friday,0,0,0
2022-01-07,Coahuila,Producto 57,3.5,22931.825,6551.95,Friday,0,0,0
2022-01-07,Coahuila,Producto 13,3.5,23652.23,6757.78,Friday,0,0,0
2022-01-07,Coahuila,Producto 19,3.5,26468.75,7562.5,Friday,0,0,0
2022-01-07,Monterrey,Producto 19,3.5,12456.08,3558.88,Friday,0,0,0
2022-01-07,Monterrey,Producto 7,14.0,104299.65,7449.974999999999,Friday,0,0,0
2022-01-07,Queretaro,Producto 7,7.0,55450.43,7921.49,Friday,0,0,0
2022-01-07,San Luis,Producto 7,3.5,27725.215,7921.49,Friday,0,0,0
2022-01-07,Queretaro,Producto 30,3.5,42701.085,12200.31,Friday,0,0,0
2022-01-07,San Luis,Producto 38,3.5,6051.605,1729.03,Friday,0,0,0
2022-01-07,Online,Producto 80,3.5,8763.125,2503.75,Friday,0,0,0
2022-01-07,Monterrey,Producto 35,3.5,11643.52,3326.7200000000003,Friday,0,0,0
2022-01-07,Laredo,Producto 48,3.5,12376.28,3536.0800000000004,Friday,0,0,0
2022-01-07,Coahuila,Producto 1,10.5,13911.94,1324.9466666666667,Friday,0,0,0
2022-01-07,Monterrey,Producto 1,35.0,42704.165,1220.119,Friday,0,0,0
2022-01-07,Online,Producto 1,7.0,8430.59,1204.3700000000001,Friday,0,0,0
2022-01-07,Queretaro,Producto 1,7.0,8430.59,1204.3700000000001,Friday,0,0,0
2022-01-07,Monterrey,Producto 17,3.5,7736.645,2210.4700000000003,Friday,0,0,0
2022-01-07,Monterrey,Producto 0,17.5,37919.7,2166.8399999999997,Friday,0,0,0
2022-01-07,Queretaro,Producto 0,7.0,17276.735,2468.105,Friday,0,0,0
2022-01-07,San Luis,Producto 0,3.5,7963.129999999999,2275.18,Friday,0,0,0
2022-01-07,Cadereyta,Producto 5,3.5,10559.57,3017.02,Friday,0,0,0
2022-01-07,Monterrey,Producto 5,3.5,10469.025,2991.15,Friday,0,0,0
2022-01-07,Queretaro,Producto 5,3.5,10992.45,3140.7000000000003,Friday,0,0,0
2022-01-07,Queretaro,Producto 21,3.5,26786.48,7653.28,Friday,0,0,0
2022-01-07,Coahuila,Producto 12,3.5,35356.02,10101.72,Friday,0,0,0
2022-01-07,Monterrey,Producto 12,3.5,35444.605,10127.03,Friday,0,0,0
2022-01-07,San Luis,Producto 12,3.5,34415.815,9833.09,Friday,0,0,0
2022-01-07,Monterrey,Producto 176,3.5,16621.99,4749.14,Friday,0,0,0
2022-01-07,Queretaro,Producto 33,3.5,80306.45,22944.7,Friday,0,0,0
2022-01-07,Monterrey,Producto 83,3.5,61885.425,17681.55,Friday,0,0,0
2022-01-07,Monterrey,Producto 8,3.5,64127.105,18322.030000000002,Friday,0,0,0
2022-01-07,Coahuila,Producto 137,3.5,33600.28,9600.08,Friday,0,0,0
2022-01-07,Coahuila,Producto 68,3.5,22630.02,6465.72,Friday,0,0,0
2022-01-07,Monterrey,Producto 68,3.5,26467.84,7562.24,Friday,0,0,0
2022-01-08,Coahuila,Producto 93,3.5,43516.69,12433.34,Saturday,0,0,0
2022-01-08,Monterrey,Producto 93,3.5,41227.48,11779.28,Saturday,0,0,0
2022-01-08,Monterrey,Producto 167,3.5,11890.06,3397.16,Saturday,0,0,0
2022-01-08,Monterrey,Producto 11,3.5,16996.875,4856.25,Saturday,0,0,0
2022-01-08,Monterrey,Producto 6,3.5,21846.02,6241.72,Saturday,0,0,0
2022-01-08,Queretaro,Producto 6,3.5,26828.41,7665.26,Saturday,0,0,0
2022-01-08,Monterrey,Producto 32,3.5,21841.435,6240.410000000001,Saturday,0,0,0
2022-01-08,Coahuila,Producto 75,3.5,27725.6,7921.599999999999,Saturday,0,0,0
2022-01-08,Monterrey,Producto 41,7.0,73831.03,10547.289999999999,Saturday,0,0,0
